trip_id,arrival_time,departure_time,stop_id,stop_sequence
1001001,06:35:00,06:35:00,VD,1
1001001,06:40:00,06:40:00,C&T,2
1001001,06:50:00,06:50:00,VD,3
1001002,06:45:00,06:45:00,VD,1
1001002,06:50:00,06:50:00,C&T,2
1001002,07:00:00,07:00:00,VD,3
1001003,06:55:00,06:55:00,VD,1
1001003,07:00:00,07:00:00,C&T,2
1001003,07:10:00,07:10:00,VD,3
1001004,07:05:00,07:05:00,VD,1
1001004,07:10:00,07:10:00,C&T,2
1001004,07:20:00,07:20:00,VD,3
1001005,07:15:00,07:15:00,VD,1
1001005,07:20:00,07:20:00,C&T,2
1001005,07:30:00,07:30:00,VD,3
1001006,07:25:00,07:25:00,VD,1
1001006,07:30:00,07:30:00,C&T,2
1001006,07:40:00,07:40:00,VD,3
1001007,07:45:00,07:45:00,VD,1
1001007,07:50:00,07:50:00,C&T,2
1001007,08:00:00,08:00:00,VD,3
1001008,08:05:00,08:05:00,VD,1
1001008,08:10:00,08:10:00,C&T,2
1001008,08:20:00,08:20:00,VD,3
1001009,08:15:00,08:15:00,VD,1
1001009,08:20:00,08:20:00,C&T,2
1001009,08:30:00,08:30:00,VD,3
1001010,08:25:00,08:25:00,VD,1
1001010,08:30:00,08:30:00,C&T,2
1001010,08:40:00,08:40:00,VD,3
1001011,08:35:00,08:35:00,VD,1
1001011,08:40:00,08:40:00,C&T,2
1001011,08:50:00,08:50:00,VD,3
1001012,08:45:00,08:45:00,VD,1
1001012,08:50:00,08:50:00,C&T,2
1001012,09:00:00,09:00:00,VD,3
1001014,09:05:00,09:05:00,VD,1
1001014,09:10:00,09:10:00,C&T,2
1001014,09:20:00,09:20:00,VD,3
1001015,09:25:00,09:25:00,VD,1
1001015,09:30:00,09:30:00,C&T,2
1001015,09:40:00,09:40:00,VD,3
1001016,09:45:00,09:45:00,VD,1
1001016,09:50:00,09:50:00,C&T,2
1001016,10:00:00,10:00:00,VD,3
1001019,10:35:00,10:35:00,VD,1
1001019,10:40:00,10:40:00,C&T,2
1001019,10:50:00,10:50:00,VD,3
1001020,10:55:00,10:55:00,VD,1
1001020,11:00:00,11:00:00,C&T,2
1001020,11:10:00,11:10:00,VD,3
1001023,11:45:00,11:45:00,VD,1
